date,iso_code,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,daily_vaccinations_per_million,people_fully_vaccinated_per_hundred
2021-01-30,BEL,339493.0,313732.0,26277.0,4517.0,13180.0,2.93,1137.0,0.23
2021-01-31,BEL,340415.0,314310.0,26621.0,922.0,13042.0,2.94,1125.0,0.23
2021-02-01,BEL,348216.0,318273.0,30473.0,7801.0,12538.0,3.0,1082.0,0.26
2021-02-02,BEL,372727.0,328496.0,44790.0,24511.0,14203.0,3.22,1225.0,0.39
2021-02-03,BEL,403616.0,338677.0,65521.0,30889.0,16234.0,3.48,1401.0,0.57
2021-02-04,BEL,437922.0,348714.0,89808.0,34306.0,17756.0,3.78,1532.0,0.77
2021-02-05,BEL,468822.0,356710.0,112750.0,30900.0,19121.0,4.05,1650.0,0.97
2021-02-06,BEL,475348.0,357911.0,118088.0,6526.0,19408.0,4.1,1675.0,1.02
2021-02-07,BEL,478744.0,358230.0,121165.0,3396.0,19761.0,4.13,1705.0,1.05
2021-02-08,BEL,488932.0,360622.0,128978.0,10188.0,20102.0,4.22,1734.0,1.11
2021-02-09,BEL,516840.0,368780.0,148751.0,27908.0,20588.0,4.46,1776.0,1.28
2021-02-10,BEL,542393.0,375319.0,167794.0,25553.0,19825.0,4.68,1711.0,1.45
2021-02-11,BEL,578803.0,383460.0,196080.0,36410.0,20126.0,4.99,1737.0,1.69
2021-02-12,BEL,613637.0,390098.0,224316.0,34834.0,20688.0,5.29,1785.0,1.94
2021-02-13,BEL,622319.0,390676.0,232435.0,8682.0,20996.0,5.37,1812.0,2.01
2021-02-14,BEL,624256.0,390750.0,234298.0,1937.0,20787.0,5.39,1794.0,2.02
2021-02-15,BEL,637993.0,392804.0,245991.0,13737.0,21294.0,5.5,1837.0,2.12
2021-02-16,BEL,652882.0,397144.0,256557.0,14889.0,19435.0,5.63,1677.0,2.21
2021-02-17,BEL,672887.0,404371.0,269355.0,20005.0,18642.0,5.81,1609.0,2.32
2021-02-18,BEL,700838.0,415072.0,286611.0,27951.0,17434.0,6.05,1504.0,2.47
2021-02-19,BEL,731921.0,433065.0,299724.0,31083.0,16898.0,6.32,1458.0,2.59
2021-02-20,BEL,737904.0,437457.0,301327.0,5983.0,16512.0,6.37,1425.0,2.6
2021-02-21,BEL,740070.0,439353.0,301597.0,2166.0,16545.0,6.39,1428.0,2.6
2021-02-22,BEL,752750.0,449113.0,304520.0,12680.0,16394.0,6.5,1415.0,2.63
2021-02-23,BEL,772814.0,461074.0,312636.0,20064.0,17133.0,6.67,1478.0,2.7
2021-02-24,BEL,795957.0,475912.0,320957.0,23143.0,17581.0,6.87,1517.0,2.77
2021-02-25,BEL,827800.0,498599.0,330121.0,31843.0,18137.0,7.14,1565.0,2.85
2021-02-26,BEL,859842.0,523800.0,336990.0,32042.0,18274.0,7.42,1577.0,2.91
2021-02-27,BEL,864197.0,527357.0,337800.0,4355.0,18042.0,7.46,1557.0,2.91
2021-02-28,BEL,865048.0,527947.0,338061.0,851.0,17854.0,7.46,1541.0,2.92
2021-03-01,BEL,878578.0,538730.0,340817.0,13530.0,17975.0,7.58,1551.0,2.94
2021-03-02,BEL,902210.0,555514.0,347684.0,23632.0,18485.0,7.78,1595.0,3.0
2021-03-03,BEL,932447.0,579597.0,353857.0,30237.0,19499.0,8.05,1682.0,3.05
2021-03-04,BEL,982040.0,620505.0,362547.0,49593.0,22034.0,8.47,1901.0,3.13
2021-03-05,BEL,1026639.0,658502.0,369161.0,44599.0,23828.0,8.86,2056.0,3.19
2021-03-06,BEL,1034926.0,666172.0,369789.0,8287.0,24390.0,8.93,2104.0,3.19
2021-03-07,BEL,1036411.0,667477.0,369969.0,1485.0,24480.0,8.94,2112.0,3.19
2021-03-08,BEL,1053706.0,682791.0,371956.0,17295.0,25018.0,9.09,2159.0,3.21
2021-03-09,BEL,1082595.0,704267.0,379389.0,28889.0,25769.0,9.34,2223.0,3.27
2021-03-10,BEL,1118608.0,731098.0,388593.0,36013.0,26594.0,9.65,2295.0,3.35
2021-03-11,BEL,1172704.0,775123.0,398673.0,54096.0,27238.0,10.12,2350.0,3.44
2021-03-12,BEL,1217429.0,806241.0,412301.0,44725.0,27256.0,10.5,2352.0,3.56
2021-03-13,BEL,1227216.0,813850.0,414489.0,9787.0,27470.0,10.59,2370.0,3.58
2021-03-14,BEL,1228644.0,814004.0,415763.0,1428.0,27462.0,10.6,2370.0,3.59
2021-03-15,BEL,1259258.0,839971.0,420411.0,30614.0,29365.0,10.87,2534.0,3.63
2021-03-16,BEL,1306043.0,882526.0,424648.0,46785.0,31921.0,11.27,2754.0,3.66
2021-03-17,BEL,1353999.0,921689.0,433442.0,47956.0,33627.0,11.68,2901.0,3.74
2021-03-18,BEL,1429197.0,979990.0,450339.0,75198.0,36642.0,12.33,3162.0,3.89
